domain,site,sitemap,reason,new_urls_count,blacklisted_on
couvreur-demoussage.fr,http://couvreur-demoussage.fr,https://couvreur-demoussage.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-diagnostic-toiture.fr,http://couvreur-diagnostic-toiture.fr,https://couvreur-diagnostic-toiture.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-entreprise.fr,http://couvreur-entreprise.fr,https://couvreur-entreprise.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-entretien-toiture.fr,http://couvreur-entretien-toiture.fr,https://couvreur-entretien-toiture.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-epinal.fr,http://couvreur-epinal.fr,https://couvreur-epinal.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-est.fr,http://couvreur-est.fr,https://couvreur-est.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-etancheite-toiture.fr,http://couvreur-etancheite-toiture.fr,https://couvreur-etancheite-toiture.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-expert-france.fr,http://couvreur-expert-france.fr,https://couvreur-expert-france.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-fiable.fr,http://couvreur-fiable.fr,https://couvreur-fiable.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-france-entier.fr,http://couvreur-france-entier.fr,https://couvreur-france-entier.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-fuite.fr,http://couvreur-fuite.fr,https://couvreur-fuite.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-garantie.fr,http://couvreur-garantie.fr/,https://couvreur-garantie.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-grandest.fr,http://couvreur-grandest.fr,https://couvreur-grandest.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-hautsdefrance.fr,http://couvreur-hautsdefrance.fr,https://couvreur-hautsdefrance.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-immeuble.fr,http://couvreur-immeuble.fr,https://couvreur-immeuble.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-installation-toiture.fr,http://couvreur-installation-toiture.fr,https://couvreur-installation-toiture.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-isolation-combles.fr,http://couvreur-isolation-combles.fr,https://couvreur-isolation-combles.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
couvreur-isolation-toiture.fr,http://couvreur-isolation-toiture.fr,https://couvreur-isolation-toiture.fr/sitemap-index.xml,too_many_new_urls>100,77516,2026-07-20
